"stock_code"	"chi_sht"	"com_name"	"class_system"	"ind_name"
"600597.SH"	"光明乳业"	"光明乳业股份有限公司"	"申万三级"	"乳品"
"600429.SH"	"三元股份"	"北京三元食品股份有限公司"	"申万三级"	"乳品"
"002770.SZ"	"科迪乳业"	"河南科迪乳业股份有限公司"	"申万三级"	"乳品"
"002732.SZ"	"燕塘乳业"	"广东燕塘乳业股份有限公司"	"申万三级"	"乳品"
"002719.SZ"	"麦趣尔"	"麦趣尔集团股份有限公司"	"申万三级"	"乳品"
"002570.SZ"	"*ST因美"	"贝因美婴童食品股份有限公司"	"申万三级"	"乳品"
"002329.SZ"	"皇氏集团"	"皇氏集团股份有限公司"	"申万三级"	"乳品"
"603000.SH"	"人民网"	"人民网股份有限公司"	"申万三级"	"互联网信息服务"
"300494.SZ"	"盛天网络"	"湖北盛天网络技术股份有限公司"	"申万三级"	"互联网信息服务"
"300431.SZ"	"暴风集团"	"北京暴风科技股份有限公司"	"申万三级"	"互联网信息服务"
"300295.SZ"	"三六五网"	"江苏三六五网络股份有限公司"	"申万三级"	"互联网信息服务"
"300226.SZ"	"上海钢联"	"上海钢联电子商务股份有限公司"	"申万三级"	"互联网信息服务"
"300113.SZ"	"顺网科技"	"杭州顺网科技股份有限公司"	"申万三级"	"互联网信息服务"
"300104.SZ"	"乐视网"	"乐视网信息技术(北京)股份有限公司"	"申万三级"	"互联网信息服务"
"300059.SZ"	"东方财富"	"东方财富信息股份有限公司"	"申万三级"	"互联网信息服务"
"300052.SZ"	"中青宝"	"深圳中青宝互动网络股份有限公司"	"申万三级"	"互联网信息服务"
"002315.SZ"	"焦点科技"	"焦点科技股份有限公司"	"申万三级"	"互联网信息服务"
"002095.SZ"	"生意宝"	"浙江网盛生意宝股份有限公司"	"申万三级"	"互联网信息服务"
"000503.SZ"	"海虹控股"	"海虹企业(控股)股份有限公司"	"申万三级"	"互联网信息服务"
"600593.SH"	"大连圣亚"	"大连圣亚旅游控股股份有限公司"	"申万三级"	"人工景点"
"300144.SZ"	"宋城演艺"	"宋城演艺发展股份有限公司"	"申万三级"	"人工景点"
"600848.SH"	"上海临港"	"上海临港控股股份有限公司"	"申万三级"	"仪器仪表"
"300445.SZ"	"康斯特"	"北京康斯特仪表科技股份有限公司"	"申万三级"	"仪器仪表"
"300417.SZ"	"南华仪器"	"佛山市南华仪器股份有限公司"	"申万三级"	"仪器仪表"
"300416.SZ"	"苏试试验"	"苏州苏试试验集团股份有限公司"	"申万三级"	"仪器仪表"
"300397.SZ"	"天和防务"	"西安天和防务技术股份有限公司"	"申万三级"	"仪器仪表"
"300371.SZ"	"汇中股份"	"汇中仪表股份有限公司"	"申万三级"	"仪器仪表"
"300354.SZ"	"东华测试"	"江苏东华测试技术股份有限公司"	"申万三级"	"仪器仪表"
"300349.SZ"	"金卡智能"	"金卡智能集团股份有限公司"	"申万三级"	"仪器仪表"
"300338.SZ"	"开元股份"	"长沙开元仪器股份有限公司"	"申万三级"	"仪器仪表"
"300306.SZ"	"远方信息"	"杭州远方光电信息股份有限公司"	"申万三级"	"仪器仪表"
"300259.SZ"	"新天科技"	"新天科技股份有限公司"	"申万三级"	"仪器仪表"
"300165.SZ"	"天瑞仪器"	"江苏天瑞仪器股份有限公司"	"申万三级"	"仪器仪表"
"300114.SZ"	"中航电测"	"中航电测仪器股份有限公司"	"申万三级"	"仪器仪表"
"300112.SZ"	"万讯自控"	"深圳万讯自控股份有限公司"	"申万三级"	"仪器仪表"
"300066.SZ"	"三川智慧"	"三川智慧科技股份有限公司"	"申万三级"	"仪器仪表"
"300007.SZ"	"汉威科技"	"汉威科技集团股份有限公司"	"申万三级"	"仪器仪表"
"002658.SZ"	"雪迪龙"	"北京雪迪龙科技股份有限公司"	"申万三级"	"仪器仪表"
"002338.SZ"	"奥普光电"	"长春奥普光电技术股份有限公司"	"申万三级"	"仪器仪表"
"002175.SZ"	"东方网络"	"东方时代网络传媒股份有限公司"	"申万三级"	"仪器仪表"
