股票代码;公司简称;公司全称;公司英文名称;成立日期;所属地域;曾用名;法定代表人;独立董事;会计师事务所;证券事务代表;咨询服务机构;所属概念;所属行业
000043;中航地产;中航地产股份有限公司;AVIC Real Estate Holding Company Limited;1994-09-08;广东;深南光A、G深南光、深南光A;石正林;郭明忠、华小宁、宋博通;瑞华会计师事务所（特殊普通合伙）;--;广东信达律师事务所;融资融券;不动产投资开发
000045;深纺织A;深圳市纺织(集团)股份有限公司;Shenzhen Textile (Holdings) Co., Ltd.;1994-08-06;广东;深纺织A、G深纺A;朱军;贺强、蔡元庆、何祚文;中勤万信会计师事务所有限公司;李振宇;;含B股;服装与服饰
000046;泛海控股;泛海控股股份有限公司;OCEANWIDE HOLDINGS CO., LTD.;1989-01-04;北京;南油物业、光彩建设、泛海建设、G泛海、泛海建设;卢志强;胡坚、朱慈蕴、余玉苗、孔爱国、徐信忠、陈飞翔;立信会计师事务所(特殊普通合伙);陆洋、李秀红;广东恒通程律师事务所;融资融券;不动产投资开发
000049;德赛电池;深圳市德赛电池科技股份有限公司;Shenzhen Desay Battery Technology Co., Ltd.;1995-02-18;广东;深万山A、ST深万山、深万山A、ST万山、深万山、德赛电池、G德赛;刘其;毕向东、韦岗、谭跃;大华会计师事务所(特殊普通合伙);--;深圳市金地律师事务所;锂电池、苹果概念、融资融券;电子电气组件与设备
000050;深天马A;天马微电子股份有限公司;Tianma Microelectronics Co., Ltd.;1995-02-26;广东;深天马A、G深天马;陈宏良;王苏生、陈泽桐、陈菡;普华永道中天会计师事务所有限公司;胡茜;广东华商律师事务所;触摸屏、国防军工、军工航天、苹果概念、融资融券、小米概念、虚拟现实;电子电气组件与设备
000055;方大集团;方大集团股份有限公司;China Fangda Group Co., Ltd.;1994-03-31;广东;深圳方大、方大A、G方大A、方大A;熊建明;邓磊、郭晋龙、郭万达;致同会计师事务所(特殊普通合伙);郭凌晨;;含B股、建筑节能、土地流转、太阳能;建材与构件
000056;皇庭国际;深圳市皇庭国际企业股份有限公司;SHENZHEN WONGTEE INTERNATIONAL ENTERPRISE CO., LTD.;1993-03-18;广东;深国商A、G深国商、深国商、*ST国商、深国商;郑康豪;熊楚熊、王培、汪军民;中审国际会计师事务所有限公司;吴小霜;广东博洋律师事务所;含B股;不动产投资开发
000058;深赛格;深圳赛格股份有限公司;Shenzhen SEG Co., Ltd.;1996-07-16;广东;深赛格、G赛格、深赛格、*ST赛格、ST赛格;陈惠劼;李罗力、范值清、宋萍萍;大华会计师事务所(特殊普通合伙);--;北京市君泽君律师事务所;含B股、金融改革、卫星导航、智能交通、重组概念;电子电气组件与设备
000059;华锦股份;北方华锦化学工业股份有限公司;North Huajin Chemical Industries Co.Ltd;1997-01-18;辽宁;辽通化工、G辽通、辽通化工、华锦股份、*ST华锦;李春建;高倚云、姜欣、张黎明;国富浩华会计师事务所有限公司;徐力军;辛西亚律师事务所;国防军工、军工航天、军民融合、融资融券、摘帽概念;特种化工品
000060;中金岭南;深圳市中金岭南有色金属股份有限公司;Shenzhen Zhongjin Lingnan Nonfemet Company Limited;1994-06-06;广东;有色中金、中金岭南、G中金;余刚;李映照、刘放来、任旭东、朱卫平;瑞华会计师事务所(特殊普通合伙);刘渝华;广东华商律师事务所;融资融券、稀缺资源;有色金属
