"start_stock_code"	"start_chi_sht"	"start_com_name"	"start_com_type"	"end_stock_code"	"end_chi_sht"	"end_com_name"	"end_com_type"	"output_funt"	"report_dt"
"000026.SZ"	"飞亚达A"	"飞亚达(集团)股份有限公司"	"深A"	""	""	"唯品会(中国)有限公司"	"非上市"	"15129.1"	"2017-12-31"
"000026.SZ"	"飞亚达A"	"飞亚达(集团)股份有限公司"	"深A"	""	""	"华润(深圳)有限公司"	"非上市"	"16601.64"	"2017-12-31"
"000026.SZ"	"飞亚达A"	"飞亚达(集团)股份有限公司"	"深A"	"002419.SZ"	"天虹股份"	"天虹商场股份有限公司"	"深A"	"7730.17"	"2017-12-31"
"000027.SZ"	"深圳能源"	"深圳能源集团股份有限公司"	"深A"	""	""	"广东电网公司"	"非上市"	"965872.41"	"2017-12-31"
"000027.SZ"	"深圳能源"	"深圳能源集团股份有限公司"	"深A"	""	""	"国网内蒙古东部电力有限公司通辽供电公司"	"非上市"	"32923.95"	"2017-12-31"
"000027.SZ"	"深圳能源"	"深圳能源集团股份有限公司"	"深A"	""	""	"国网江苏省电力有限公司"	"非上市"	"31485.54"	"2017-12-31"
"000028.SZ"	"国药一致"	"国药集团一致药业股份有限公司"	"深A"	""	""	"广西医科大学第一附属医院"	"非上市"	"17977.02"	"2014-06-30"
"000028.SZ"	"国药一致"	"国药集团一致药业股份有限公司"	"深A"	""	""	"广东省疾病预防控制中心"	"非上市"	"15214.93"	"2014-06-30"
"000028.SZ"	"国药一致"	"国药集团一致药业股份有限公司"	"深A"	""	""	"南方医科大学南方医院"	"非上市"	"12390.62"	"2014-06-30"
"000028.SZ"	"国药一致"	"国药集团一致药业股份有限公司"	"深A"	""	""	"中山大学附属肿瘤医院"	"非上市"	"12353.57"	"2014-06-30"
"000028.SZ"	"国药一致"	"国药集团一致药业股份有限公司"	"深A"	""	""	"华润广东医药有限公司"	"非上市"	"11358.62"	"2014-06-30"
"000028.SZ"	"国药一致"	"国药集团一致药业股份有限公司"	"深A"	"871107.OC"	""	"深圳希思医疗美容医院股份有限公司"	"三板"	"243.56"	"2017-12-31"
"000030.SZ"	"富奥股份"	"富奥汽车零部件股份有限公司"	"深A"	""	""	"一汽解放青岛汽车有限公司"	"非上市"	"36742.1"	"2017-12-31"
"000030.SZ"	"富奥股份"	"富奥汽车零部件股份有限公司"	"深A"	""	""	"大众一汽平台零部件有限公司"	"非上市"	"79088.75"	"2017-12-31"
"000030.SZ"	"富奥股份"	"富奥汽车零部件股份有限公司"	"深A"	""	""	"一汽-大众汽车有限公司"	"非上市"	"81213.84"	"2017-12-31"
"000030.SZ"	"富奥股份"	"富奥汽车零部件股份有限公司"	"深A"	""	""	"一汽解放汽车有限公司"	"非上市"	"214926.98"	"2017-12-31"
"000030.SZ"	"富奥股份"	"富奥汽车零部件股份有限公司"	"深A"	"000800.SZ"	"一汽轿车"	"一汽轿车股份有限公司"	"深A"	"62803.79"	"2017-12-31"
"000032.SZ"	"深桑达A"	"深圳市桑达实业股份有限公司"	"深A"	"833286.OC"	""	"深圳市海斯比船艇科技股份有限公司"	"三板"	"1081.14"	"2017-12-31"
"000032.SZ"	"深桑达A"	"深圳市桑达实业股份有限公司"	"深A"	""	""	"合肥京东方显示技术有限公司"	"非上市"	"4417.63"	"2017-12-31"
"000032.SZ"	"深桑达A"	"深圳市桑达实业股份有限公司"	"深A"	""	""	"深圳市振华旭峰科技有限公司"	"非上市"	"5152.94"	"2017-12-31"
"000034.SZ"	"神州数码"	"神州数码集团股份有限公司"	"深A"	""	""	"北京市国顺泰科贸有限公司"	"非上市"	"1185.77"	"2015-12-31"
"000034.SZ"	"神州数码"	"神州数码集团股份有限公司"	"深A"	""	""	"阳江信诚饲料经营部"	"非上市"	"1544.06"	"2015-12-31"
"000034.SZ"	"神州数码"	"神州数码集团股份有限公司"	"深A"	""	""	"北京星杰生商行"	"非上市"	"3248.21"	"2015-12-31"
"000035.SZ"	"中国天楹"	"中国天楹股份有限公司"	"深A"	""	""	"国网福建省电力有限公司"	"非上市"	"2811.89"	"2017-12-31"
"000035.SZ"	"中国天楹"	"中国天楹股份有限公司"	"深A"	""	""	"深圳供电局有限公司"	"非上市"	"5436.49"	"2017-12-31"
"000035.SZ"	"中国天楹"	"中国天楹股份有限公司"	"深A"	""	""	"国网江苏省电力公司"	"非上市"	"19828.6"	"2017-12-31"
"000037.SZ"	"深南电A"	"深圳南山热电股份有限公司"	"深A"	"871561.OC"	""	"深圳嘉德瑞碳资产股份有限公司"	"三板"	"113.46"	"2015-12-31"
"000037.SZ"	"深南电A"	"深圳南山热电股份有限公司"	"深A"	""	""	"中国天辰工程有限公司"	"非上市"	"1029.94"	"2017-12-31"
"000037.SZ"	"深南电A"	"深圳南山热电股份有限公司"	"深A"	"1829.HK"	""	"中国机械设备工程股份有限公司"	"其它"	"2750.41"	"2017-12-31"
"000037.SZ"	"深南电A"	"深圳南山热电股份有限公司"	"深A"	""	""	"深圳市水务局"	"非上市"	"4438.49"	"2017-12-31"
"000037.SZ"	"深南电A"	"深圳南山热电股份有限公司"	"深A"	""	""	"广东电网有限责任公司"	"非上市"	"95475.74"	"2017-12-31"
"000037.SZ"	"深南电A"	"深圳南山热电股份有限公司"	"深A"	""	""	"深圳供电局有限公司"	"非上市"	"100253.37"	"2017-12-31"
"000039.SZ"	"中集集团"	"中国国际海运集装箱(集团)股份有限公司"	"深A"	""	""	"Textainer Equipment Management Limited"	"非上市"	"119474.8"	"2017-12-31"
"000043.SZ"	"中航地产"	"中航地产股份有限公司"	"深A"	""	""	"宜家(中国)投资有限公司"	"非上市"	"23042.21"	"2017-12-31"
"000043.SZ"	"中航地产"	"中航地产股份有限公司"	"深A"	""	""	"中国航空技术国际控股有限公司"	"非上市"	"10696.58"	"2017-12-31"
"000043.SZ"	"中航地产"	"中航地产股份有限公司"	"深A"	""	""	"深圳大学"	"非上市"	"3901.35"	"2017-12-31"
