"stock_code"	"chi_sht"	"com_name"	"block_name"
"002792.SZ"	"通宇通讯"	"广东通宇通讯股份有限公司"	"4G"
"603322.SH"	"超讯通信"	"广东超讯通信技术股份有限公司"	"4G"
"300038.SZ"	"梅泰诺"	"北京梅泰诺通信技术股份有限公司"	"4G"
"002544.SZ"	"杰赛科技"	"广州杰赛科技股份有限公司"	"4G"
"002396.SZ"	"星网锐捷"	"福建星网锐捷通讯股份有限公司"	"4G"
"002313.SZ"	"日海通讯"	"深圳日海通讯技术股份有限公司"	"4G"
"300299.SZ"	"富春股份"	"富春科技股份有限公司"	"4G"
"300134.SZ"	"大富科技"	"深圳市大富科技股份有限公司"	"4G"
"300292.SZ"	"吴通控股"	"吴通控股集团股份有限公司"	"4G"
"002369.SZ"	"卓翼科技"	"深圳市卓翼科技股份有限公司"	"4G"
"300025.SZ"	"华星创业"	"杭州华星创业通信技术股份有限公司"	"4G"
"002281.SZ"	"光迅科技"	"武汉光迅科技股份有限公司"	"4G"
"600485.SH"	"信威集团"	"北京信威通信科技集团股份有限公司"	"4G"
"002364.SZ"	"中恒电气"	"杭州中恒电气股份有限公司"	"4G"
"000063.SZ"	"中兴通讯"	"中兴通讯股份有限公司"	"4G"
"600776.SH"	"东方通信"	"东方通信股份有限公司"	"4G"
"300050.SZ"	"世纪鼎利"	"珠海世纪鼎利通信科技股份有限公司"	"4G"
"002115.SZ"	"三维通信"	"三维通信股份有限公司"	"4G"
"600198.SH"	"*ST大唐"	"大唐电信科技股份有限公司"	"4G"
"002194.SZ"	"*ST凡谷"	"武汉凡谷电子技术股份有限公司"	"4G"
"300319.SZ"	"麦捷科技"	"深圳市麦捷微电子科技股份有限公司"	"5G"
"300252.SZ"	"金信诺"	"深圳金信诺高新技术股份有限公司"	"5G"
"300312.SZ"	"邦讯技术"	"邦讯技术股份有限公司"	"5G"
"002491.SZ"	"通鼎互联"	"通鼎互联信息股份有限公司"	"5G"
"002792.SZ"	"通宇通讯"	"广东通宇通讯股份有限公司"	"5G"
"300635.SZ"	"达安股份"	"广东达安项目管理股份有限公司"	"5G"
"603322.SH"	"超讯通信"	"广东超讯通信技术股份有限公司"	"5G"
"603602.SH"	"纵横通信"	"杭州纵横通信股份有限公司"	"5G"
"300565.SZ"	"科信技术"	"深圳市科信通信技术股份有限公司"	"5G"
"300322.SZ"	"硕贝德"	"惠州硕贝德无线科技股份有限公司"	"5G"
"002446.SZ"	"盛路通信"	"广东盛路通信科技股份有限公司"	"5G"
"603803.SH"	"瑞斯康达"	"瑞斯康达科技发展股份有限公司"	"5G"
"600498.SH"	"烽火通信"	"烽火通信科技股份有限公司"	"5G"
"002417.SZ"	"深南股份"	"深南金科股份有限公司"	"5G"
"300493.SZ"	"润欣科技"	"上海润欣科技股份有限公司"	"5G"
"300615.SZ"	"欣天科技"	"深圳市欣天科技股份有限公司"	"5G"
"300038.SZ"	"梅泰诺"	"北京梅泰诺通信技术股份有限公司"	"5G"
"002544.SZ"	"杰赛科技"	"广州杰赛科技股份有限公司"	"5G"
"002547.SZ"	"春兴精工"	"苏州春兴精工股份有限公司"	"5G"
"002396.SZ"	"星网锐捷"	"福建星网锐捷通讯股份有限公司"	"5G"
"002313.SZ"	"日海通讯"	"深圳日海通讯技术股份有限公司"	"5G"
"300502.SZ"	"新易盛"	"成都新易盛通信技术股份有限公司"	"5G"
"300638.SZ"	"广和通"	"深圳市广和通无线股份有限公司"	"5G"
"300570.SZ"	"太辰光"	"深圳太辰光通信股份有限公司"	"5G"
"300394.SZ"	"天孚通信"	"苏州天孚光通信股份有限公司"	"5G"
"300134.SZ"	"大富科技"	"深圳市大富科技股份有限公司"	"5G"
"300597.SZ"	"吉大通信"	"吉林吉大通信设计院股份有限公司"	"5G"
"002268.SZ"	"卫士通"	"成都卫士通信息产业股份有限公司"	"5G"
"300548.SZ"	"博创科技"	"博创科技股份有限公司"	"5G"
"603042.SH"	"华脉科技"	"南京华脉科技股份有限公司"	"5G"
"300025.SZ"	"华星创业"	"杭州华星创业通信技术股份有限公司"	"5G"
"300366.SZ"	"创意信息"	"四川创意信息技术股份有限公司"	"5G"
"603118.SH"	"共进股份"	"深圳市共进电子股份有限公司"	"5G"
"002281.SZ"	"光迅科技"	"武汉光迅科技股份有限公司"	"5G"
"300620.SZ"	"光库科技"	"珠海光库科技股份有限公司"	"5G"
"300136.SZ"	"信维通信"	"深圳市信维通信股份有限公司"	"5G"
"600485.SH"	"信威集团"	"北京信威通信科技集团股份有限公司"	"5G"
"600487.SH"	"亨通光电"	"江苏亨通光电股份有限公司"	"5G"
"300308.SZ"	"中际旭创"	"中际旭创股份有限公司"	"5G"
"600522.SH"	"中天科技"	"江苏中天科技股份有限公司"	"5G"
"000063.SZ"	"中兴通讯"	"中兴通讯股份有限公司"	"5G"
"600776.SH"	"东方通信"	"东方通信股份有限公司"	"5G"
"600198.SH"	"*ST大唐"	"大唐电信科技股份有限公司"	"5G"
"002194.SZ"	"*ST凡谷"	"武汉凡谷电子技术股份有限公司"	"5G"
"002387.SZ"	"黑牛食品"	"黑牛食品股份有限公司"	"8K面板"
"300567.SZ"	"精测电子"	"武汉精测电子技术股份有限公司"	"8K面板"
"000050.SZ"	"深天马A"	"天马微电子股份有限公司"	"8K面板"
"000921.SZ"	"海信科龙"	"海信科龙电器股份有限公司"	"8K面板"
"600060.SH"	"海信电器"	"青岛海信电器股份有限公司"	"8K面板"
"600839.SH"	"四川长虹"	"四川长虹电器股份有限公司"	"8K面板"
"000727.SZ"	"华东科技"	"南京华东电子信息科技股份有限公司"	"8K面板"
"000810.SZ"	"创维数字"	"创维数字股份有限公司"	"8K面板"
"000725.SZ"	"京东方A"	"京东方科技集团股份有限公司"	"8K面板"
"000413.SZ"	"东旭光电"	"东旭光电科技股份有限公司"	"8K面板"
"000100.SZ"	"TCL集团"	"TCL集团股份有限公司"	"8K面板"
"600783.SH"	"鲁信创投"	"鲁信创业投资集团股份有限公司"	"AMC"
"601700.SH"	"风范股份"	"常熟风范电力设备股份有限公司"	"AMC"
"000563.SZ"	"陕国投A"	"陕西省国际信托股份有限公司"	"AMC"
"000993.SZ"	"闽东电力"	"福建闽东电力股份有限公司"	"AMC"
"601158.SH"	"重庆水务"	"重庆水务集团股份有限公司"	"AMC"
"600704.SH"	"物产中大"	"物产中大集团股份有限公司"	"AMC"
"000514.SZ"	"渝开发"	"重庆渝开发股份有限公司"	"AMC"
"000567.SZ"	"海德股份"	"海南海德实业股份有限公司"	"AMC"
"600120.SH"	"浙江东方"	"浙江东方集团股份有限公司"	"AMC"
"000652.SZ"	"泰达股份"	"天津泰达股份有限公司"	"AMC"
"000908.SZ"	"景峰医药"	"湖南景峰医药股份有限公司"	"AMC"
"000932.SZ"	"*ST华菱"	"湖南华菱钢铁股份有限公司"	"AMC"
"600163.SH"	"中闽能源"	"中闽能源股份有限公司"	"AMC"
"002657.SZ"	"中科金财"	"北京中科金财科技股份有限公司"	"AMC"
"601198.SH"	"东兴证券"	"东兴证券股份有限公司"	"AMC"
"300121.SZ"	"阳谷华泰"	"山东阳谷华泰化工股份有限公司"	"APEC会议"
"600166.SH"	"福田汽车"	"北汽福田汽车股份有限公司"	"APEC会议"
"000055.SZ"	"方大集团"	"方大集团股份有限公司"	"APEC会议"
"002701.SZ"	"奥瑞金"	"奥瑞金科技股份有限公司"	"APEC会议"
"002385.SZ"	"大北农"	"北京大北农科技集团股份有限公司"	"APEC会议"
"601588.SH"	"北辰实业"	"北京北辰实业股份有限公司"	"APEC会议"
"000979.SZ"	"中弘股份"	"中弘控股股份有限公司"	"APEC会议"
"600007.SH"	"中国国贸"	"中国国际贸易中心股份有限公司"	"APEC会议"
"600246.SH"	"万通地产"	"北京万通地产股份有限公司"	"APEC会议"
"002192.SZ"	"融捷股份"	"融捷股份有限公司"	"ATL电池"
"002426.SZ"	"胜利精密"	"苏州胜利精密制造科技股份有限公司"	"ATL电池"
"600210.SH"	"紫江企业"	"上海紫江企业集团股份有限公司"	"ATL电池"
"002091.SZ"	"江苏国泰"	"江苏国泰国际集团国贸股份有限公司"	"ATL电池"
"600884.SH"	"杉杉股份"	"宁波杉杉股份有限公司"	"ATL电池"
"000049.SZ"	"德赛电池"	"深圳市德赛电池科技股份有限公司"	"ATL电池"
"002709.SZ"	"天赐材料"	"广州天赐高新材料股份有限公司"	"ATL电池"
"600096.SH"	"云天化"	"云南云天化股份有限公司"	"ATL电池"
"300202.SZ"	"聚龙股份"	"聚龙股份有限公司"	"ATM机"
"300479.SZ"	"神思电子"	"神思电子技术股份有限公司"	"ATM机"
"002177.SZ"	"御银股份"	"广州御银科技股份有限公司"	"ATM机"
"002152.SZ"	"广电运通"	"广州广电运通金融电子股份有限公司"	"ATM机"
"000948.SZ"	"南天信息"	"云南南天电子信息产业股份有限公司"	"ATM机"
"002312.SZ"	"三泰控股"	"成都三泰控股集团股份有限公司"	"ATM机"
"600177.SH"	"雅戈尔"	"雅戈尔集团股份有限公司"	"ApplePay"
"002095.SZ"	"生意宝"	"浙江网盛生意宝股份有限公司"	"ApplePay"
"000997.SZ"	"新大陆"	"福建新大陆电脑股份有限公司"	"ApplePay"
"002104.SZ"	"恒宝股份"	"恒宝股份有限公司"	"ApplePay"
"300205.SZ"	"天喻信息"	"武汉天喻信息产业股份有限公司"	"ApplePay"
"300077.SZ"	"国民技术"	"国民技术股份有限公司"	"ApplePay"
"002268.SZ"	"卫士通"	"成都卫士通信息产业股份有限公司"	"ApplePay"
"002657.SZ"	"中科金财"	"北京中科金财科技股份有限公司"	"ApplePay"
"002017.SZ"	"东信和平"	"东信和平智能卡股份有限公司"	"ApplePay"
"000726.SZ"	"鲁泰A"	"鲁泰纺织股份有限公司"	"B转H"
"600663.SH"	"陆家嘴"	"上海陆家嘴金融贸易区开发股份有限公司"	"B转H"
