节点类型	原标识	编码
COMPANY	上海申银万国泓鼎股权投资管理有限公司	COMP000100000307
COMPANY	申万宏源期货(香港)有限公司	COMP000100000308
COMPANY	牡丹江富通汽车空调有限公司	COMP000100000309
COMPANY	南通金飞利服装有限公司	COMP000100000310
COMPANY	澳特卡新能源科技(上海)有限公司	COMP000100000311
COMPANY	西安鼎达置业有限公司	COMP000100000312
COMPANY	广东汇冠教育投资有限公司	COMP000100000313
COMPANY	北京科加触控技术有限公司	COMP000100000314
COMPANY	广州华欣电子科技有限公司	COMP000100000315
COMPANY	厦门烯成石墨烯科技有限公司	COMP000100000316
COMPANY	申万宏源西部证券有限公司	COMP000100000317
COMPANY	宏源汇智投资有限公司	COMP000100000318
COMPANY	申银万国智富投资有限公司	COMP000100000319
COMPANY	Shenwan Hongyuan Singapore Private Limited	COMP000100000320
COMPANY	金井有限公司	COMP000100000321
COMPANY	申银万国创新证券投资有限公司	COMP000100000322
COMPANY	申万宏源投资有限公司	COMP000100000323
COMPANY	申万宏源融资(香港)有限公司	COMP000100000324
COMPANY	南通金飞祥服装有限公司	COMP000100000325
COMPANY	北京小荷翰墨投资管理有限责任公司	COMP000100000326
COMPANY	北京汇冠触摸技术有限公司	COMP000100000327
COMPANY	北京汇茂企业管理中心(有限合伙)	COMP000100000328
COMPANY	惠州中京医疗投资管理有限公司	COMP000100000329
COMPANY	惠州中京乐源智能科技有限公司	COMP000100000330
COMPANY	上海农仁网络科技发展有限公司	COMP000100000331
COMPANY	北京中长石基软件有限公司	COMP000100000332
COMPANY	北京长京益康信息科技有限公司	COMP000100000333
COMPANY	北京石基昆仑软件有限公司	COMP000100000334
COMPANY	青岛海信智能商用系统股份有限公司	COMP000100000335
COMPANY	上海申银证券(香港)有限公司	COMP000100000336
COMPANY	Venture-Some Investments Limited	COMP000100000337
COMPANY	宏源汇富创业投资有限公司	COMP000100000338
COMPANY	申银万国投资有限公司	COMP000100000339
COMPANY	申万宏源证券(香港)有限公司	COMP000100000340
COMPANY	西藏奥特佳投资有限公司	COMP000100000341
COMPANY	南通能益服装有限公司	COMP000100000342
COMPANY	南通金飞达服装有限公司	COMP000100000343
COMPANY	恒峰信息技术有限公司	COMP000100000344
COMPANY	深圳市旺鑫精密工业有限公司	COMP000100000345
COMPANY	深圳中京前海投资管理有限公司	COMP000100000346
COMPANY	广东乐源数字技术有限公司	COMP000100000347
COMPANY	上海石基信息技术有限公司	COMP000100000348
COMPANY	北京航信华仪软件技术有限公司	COMP000100000349
COMPANY	上海时运信息技术股份有限公司	COMP000100000350
COMPANY	百望金税科技有限公司	COMP000100000351
COMPANY	上海仁大商业保理有限公司	COMP000100000352
COMPANY	上海中润解放传媒有限公司	COMP000100000353
COMPANY	上海解放教育传媒有限公司	COMP000100000354
COMPANY	上海中润解放房地产营销策划有限公司	COMP000100000355
COMPANY	申万宏源投资管理(亚洲)有限公司	COMP000100000356
COMPANY	金飞达(毛里求斯)有限公司	COMP000100000357
COMPANY	南通金飞盈服装有限公司	COMP000100000358
COMPANY	天津汇冠触摸技术有限公司	COMP000100000359
COMPANY	台湾汇冠触控科技有限公司	COMP000100000360
COMPANY	香港中京电子科技有限公司	COMP000100000361
COMPANY	惠州中盛科技企业孵化器有限公司	COMP000100000362
COMPANY	北海石基信息技术有限公司	COMP000100000363
COMPANY	石基商用信息技术有限公司	COMP000100000364
COMPANY	Review Rank S.A.	COMP000100000365
COMPANY	上海正品贵德软件有限公司	COMP000100000366
COMPANY	迅付信息科技有限公司	COMP000100000367
COMPANY	Hand R Group Ltd	COMP000100000368
COMPANY	同大(福建)超纤有限公司	COMP000100000369
COMPANY	上海人报传媒经营有限公司	COMP000100000370
COMPANY	上海晨刊传媒经营有限公司	COMP000100000371
COMPANY	上海新华置城文化传媒有限公司	COMP000100000372
COMPANY	嘉时国际有限公司(香港)	COMP000100000373
COMPANY	上海新华传媒文化传播有限公司	COMP000100000374
COMPANY	上海荟集网络科技有限公司	COMP000100000375
COMPANY	深圳旺鑫精密工业有限公司	COMP000100000376
COMPANY	惠州中京电子科技有限公司	COMP000100000377
COMPANY	广州中京医疗健康投资有限公司	COMP000100000378
COMPANY	深圳蓝韵医学影像有限公司	COMP000100000379
COMPANY	深圳大生农产品供应链有限公司	COMP000100000380
COMPANY	杭州西软科技有限公司	COMP000100000381
COMPANY	石基(香港)有限公司	COMP000100000382
COMPANY	科传计算机科技控股有限公司	COMP000100000383
COMPANY	浙江未来酒店网络技术有限公司	COMP000100000384
COMPANY	上海新华传媒连锁有限公司	COMP000100000385
COMPANY	上海新华传媒电子商务有限公司	COMP000100000386
COMPANY	上海风火龙物流有限公司	COMP000100000387
COMPANY	上海久远经营有限公司	COMP000100000388
COMPANY	上海书刊交易市场经营管理有限公司	COMP000100000389
COMPANY	上海申活馆文化创意有限公司	COMP000100000390
COMPANY	新华乐舍(上海)文化发展有限公司	COMP000100000391
COMPANY	南宁糖业宾阳大桥制糖有限责任公司	COMP000100000392
COMPANY	南宁天然纸业有限公司	COMP000100000393
COMPANY	广西舒雅护理用品有限公司	COMP000100000394
COMPANY	浙江钱江摩托技术开发有限公司	COMP000100000395
COMPANY	Galasys PLC	COMP000100000396
COMPANY	上海申报传媒经营有限公司	COMP000100000397
COMPANY	上海新华传媒资产管理有限公司	COMP000100000398
COMPANY	上海房报传媒经营有限公司	COMP000100000399
COMPANY	上海新置华城房地产经纪有限公司	COMP000100000400
COMPANY	上海联市文化发展有限公司	COMP000100000401
COMPANY	上海地铁时代传媒发展有限公司	COMP000100000402
COMPANY	上海久远出版服务有限公司	COMP000100000403
COMPANY	南宁南糖香山甘蔗种植有限责任公司	COMP000100000404
COMPANY	广西侨旺纸模制品股份有限公司	COMP000100000405
COMPANY	南宁美恒安兴纸业有限公司	COMP000100000406
COMPANY	重庆钱江摩托制造有限公司	COMP000100000407
COMPANY	BENELLI Q.J.SRL	COMP000100000408
COMPANY	佛山市钱荣贸易有限公司	COMP000100000409
COMPANY	泉州钱龙贸易有限公司	COMP000100000410
COMPANY	四川鑫钱江摩托车销售有限公司	COMP000100000411
COMPANY	珠海市钱荣贸易有限公司	COMP000100000412
COMPANY	浙江钱江机器人有限公司	COMP000100000413
COMPANY	枣庄市盈园度假酒店有限公司	COMP000100000414
COMPANY	福州首开福泰投资有限公司	COMP000100000415
COMPANY	上海杨航文化传媒有限公司	COMP000100000416
COMPANY	上海书城图书有限公司	COMP000100000417
COMPANY	上海新华解放数字阅读传媒有限公司	COMP000100000418
COMPANY	上海新华网尚影院视听馆投资有限公司	COMP000100000419
